Categoria,Tipo,Nombre,Tabla/Evento,Cuando,Descripcion
Tareas,Funcion,notify_task_completed,N/A,trigger handler,Avisa cierre
Tareas,Funcion,notify_task_comment,N/A,trigger handler,Avisa comentario
Tareas,Funcion,notify_booking_created,N/A,trigger handler,Avisa reserva
Tareas,Funcion,notify_booking_status_change,N/A,trigger handler,Avisa cambio de reserva
Tareas,Funcion,reorder_kanban,N/A,JSONB (RPC),Reordena tarjetas kanban
Tareas,Funcion,escalate_overdue_and_blocked_tasks,N/A,Integer,Escala tareas vencidas/bloqueadas
Tareas,Funcion,run_daily_task_escalation,N/A,JSONB (cron),Job diario de escalamiento
Notificaciones,Trigger,trg_notification_queue_updated_at,notification_queue,UPDATE BEFORE,Timestamp en cola
Notificaciones,Funcion,enqueue_notification,N/A,UUID,Encola mensaje en notification_queue
Notificaciones,Funcion,send_whatsapp_notification,N/A,UUID,Envia via edge function
Notificaciones,Funcion,set_notification_queue_updated_at,N/A,trigger handler,Timestamp
Notificaciones,Funcion,fn_enqueue_whatsapp_new_lead,N/A,trigger handler,Encola WhatsApp lead nuevo
Notificaciones,Funcion,normalize_whatsapp_phone,N/A,Text utility,Formato E.164
Notificaciones,CronJob,job-2-whatsapp-processor,N/A,Cada minuto,POST a edge function process-whatsapp-notifications con dry_run=false limit=25
Notificaciones,EdgeFunction,process-whatsapp-notifications,N/A,On-demand HTTP,Consume notification_queue y envia via Meta WhatsApp API
Auth-Seguridad,Trigger,trg_prevent_non_admin_profile_role_change,profiles,UPDATE BEFORE,Bloquea cambios de rol por no-admins (anti-escalada)
Auth-Seguridad,Trigger,set_updated_at,profiles,UPDATE BEFORE,Timestamp
Auth-Seguridad,Trigger,trg_profiles_updated_at,profiles,UPDATE BEFORE,Timestamp (duplicado a revisar)
Auth-Seguridad,Funcion,get_my_role,N/A,User_role,Utility usado en RLS policies
Auth-Seguridad,Funcion,handle_new_user,N/A,trigger handler,Crea profile al registrar en auth.users
Auth-Seguridad,Funcion,prevent_non_admin_profile_role_change,N/A,trigger handler,Bloqueo anti-escalada
Finanzas,Funcion,create_accounting_closure,N/A,JSONB (RPC),Cierra periodo contable de proyecto
Finanzas,Funcion,get_financial_summary,N/A,JSONB (RPC),Resumen financiero
Finanzas,Funcion,get_project_balance,N/A,JSONB (RPC),Saldo por proyecto
Finanzas,Funcion,generate_weekly_report,N/A,JSONB (cron),Reporte semanal
Finanzas,Funcion,run_payment_reminders,N/A,JSONB (cron),Recordatorios de pago programados
Mantenimiento,Funcion,run_archive_inactive_projects,N/A,JSONB (cron),Archiva proyectos inactivos
Timestamps,Funcion,update_updated_at,N/A,trigger handler,Helper de timestamp generico
Timestamps,Trigger,trg_clients_updated_at,clients,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_expenses_updated_at,expenses,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_projects_updated_at,projects,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_quotation_items_updated_at,quotation_items,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_quotations_updated_at,quotations,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_tasks_updated_at,tasks,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_warranties_updated_at,warranties,UPDATE BEFORE,Timestamp
Timestamps,Trigger,trg_warranty_claims_updated_at,warranty_claims,UPDATE BEFORE,Timestamp
Webhooks,Tabla,meta_whatsapp_status_events,N/A,On-demand POST,Recibe eventos del API Meta WhatsApp (delivered/read/failed) - 18 eventos almacenados
Colas,Tabla,notification_queue,N/A,Cola asincrona,Mensajes pendientes de envio - 6 en cola
Colas,Tabla,pdf_generation_queue,N/A,Cola asincrona,PDFs pendientes de generar - 0 en cola
Colas,Tabla,calendar_sync_queue,N/A,Cola asincrona,Sincronizaciones Google Calendar - 5 en cola
Colas,Tabla,scheduled_job_log,N/A,Log de jobs,Bitacora de cron jobs ejecutados
EdgeFunction-Inferida,EdgeFunction,generate-quotation-pdf,N/A,On-demand,Genera PDF al consumir pdf_generation_queue (pendiente confirmar en dashboard)
EdgeFunction-Inferida,EdgeFunction,sync-google-calendar,N/A,On-demand,Sincroniza con Google Calendar (pendiente confirmar en dashboard)
EdgeFunction-Inferida,EdgeFunction,whatsapp-webhook,N/A,Webhook receiver,Recibe eventos del API Meta (pendiente confirmar en dashboard)
EdgeFunction-Inferida,EdgeFunction,send-welcome-email,N/A,On-demand,Envia email de bienvenida (pendiente confirmar en dashboard)
